	カテゴリ	バス停			サブカテ	路線																																											
	path	busstop			subpath	route																																											
																																																	
																																																	
																																																	
																																																	
	共通属性																									個別属性																							
(項目名)	施設名	電話	住所	時間帯	価格	WGS84緯度	WGS84経度	定休日	駐車場	サムネ画像	ホームページ															id	seq	バスタイプ	バス会社	路線																			
(キー)	name	tel	address	open	fee	lat	lng	closingday	parking	thumbnail	homepage															id	sql	bustype	company	route																			
(属性型)	text	text	text	times	text	degree	degree	text	text	url	url															text	text	text	text	text																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:38		33.23606562	131.6074797			small_busstop.jpg																n8	10	1	大分交通（株）	県立図書館線3																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:39		33.23606562	131.6074797			small_busstop.jpg																n8	11	1	大分交通（株）	青葉台線23																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:40		33.23606562	131.6074797			small_busstop.jpg																n8	12	1	大分交通（株）	青葉台線24																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:41		33.23606562	131.6074797			small_busstop.jpg																n8	13	1	大分交通（株）	青葉台線25																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:42		33.23606562	131.6074797			small_busstop.jpg																n8	14	1	大分交通（株）	青葉台線9																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:43		33.23606562	131.6074797			small_busstop.jpg																n8	15	1	大分交通（株）	大洲循環線																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:44		33.23606562	131.6074797			small_busstop.jpg																n8	16	1	大分交通（株）	別大線AS71																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:45		33.23606562	131.6074797			small_busstop.jpg																n8	17	1	大分交通（株）	柞原線6																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:46		33.23606562	131.6074797			small_busstop.jpg																n8	18	1	西鉄観光バス（株）	福岡・福岡空港　～　別府・大分																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:47		33.23606562	131.6074797			small_busstop.jpg																n8	19	1	西日本鉄道（株）	福岡～大分（スーパーノンストップ）																			
	トキハ・フォーラス前			message=,stime=0:00,etime=0:48		33.23606562	131.6074797			small_busstop.jpg																n8	20	1	大分交通（株）	APU線AS54																			
	JR中津駅			message=,stime=0:00,etime=0:49		33.59882996	131.1909532			small_busstop.jpg																n9	1	3	吉富町	築上東部乗合タクシー																			
	イオンモール三光（ジャスコ）			message=,stime=0:00,etime=0:50		33.55722443	131.1918618			small_busstop.jpg																n10	1	3	上毛町	新吉富線																			
	イオンモール三光（ジャスコ）			message=,stime=0:00,etime=0:51		33.55722443	131.1918618			small_busstop.jpg																n10	2	3	上毛町	西友枝線																			
	イオンモール三光（ジャスコ）			message=,stime=0:00,etime=0:52		33.55722443	131.1918618			small_busstop.jpg																n10	3	3	上毛町	唐原線																			
	イオンモール三光（ジャスコ）			message=,stime=0:00,etime=0:53		33.55722443	131.1918618			small_busstop.jpg																n10	4	3	上毛町	東上線																			
	宇佐猿渡			message=,stime=0:00,etime=0:54		33.53960471	131.2936987			small_busstop.jpg																n11	1	1	大分交通（株）	大分別府・北九州																			
	宇佐猿渡			message=,stime=0:00,etime=0:55		33.53960471	131.2936987			small_busstop.jpg																n11	2	1	大交北部バス（株）	中津駅前～安心院																			
	宇佐猿渡			message=,stime=0:00,etime=0:56		33.53960471	131.2936987			small_busstop.jpg																n11	3	1	大交北部バス（株）	豊後高田～中津駅前																			
	宇佐猿渡			message=,stime=0:00,etime=0:57		33.53960471	131.2936987			small_busstop.jpg																n11	4	1	亀の井バス（株）	大分別府・北九州																			
	臼杵（辻）			message=,stime=0:00,etime=0:58		33.1201943	131.8000382			small_busstop.jpg																n12	1	1	西鉄高速バス（株）	福岡～臼杵・津久見・佐伯（期間限定）																			
	臼杵（辻）			message=,stime=0:00,etime=0:59		33.1201943	131.8000382			small_busstop.jpg																n12	2	1	大分バス（株）	大分臼杵線																			
	臼杵IC			message=,stime=0:00,etime=0:60		33.10531589	131.7783746			small_busstop.jpg																n13	1	1	西鉄高速バス（株）	福岡～臼杵・津久見・佐伯（期間限定）																			
	高速天間			message=,stime=0:00,etime=0:61		33.34083824	131.4261961			small_busstop.jpg																n14	1	1	大分交通（株）	大分別府・長崎																			
	高速天間			message=,stime=0:00,etime=0:62		33.34083824	131.4261961			small_busstop.jpg																n14	2	1	西鉄観光バス（株）	福岡・福岡空港　～　別府・大分																			
	高速天間			message=,stime=0:00,etime=0:63		33.34083824	131.4261961			small_busstop.jpg																n14	3	1	長崎自動車（株）	長崎～大分・別府（サンライト号）																			
	高速天間			message=,stime=0:00,etime=0:64		33.34083824	131.4261961			small_busstop.jpg																n14	4	1	大分バス（株）	大分・別府～福岡(各停)																			
	高速天間			message=,stime=0:00,etime=0:65		33.34083824	131.4261961			small_busstop.jpg																n14	5	1	大分バス（株）	大分別府・長崎（各停）																			
	高速天間			message=,stime=0:00,etime=0:66		33.34083824	131.4261961			small_busstop.jpg																n14	6	1	亀の井バス（株）	長崎～大分・別府（サンライト号）																			
	高速天瀬高塚			message=,stime=0:00,etime=0:67		33.2953787	131.0525647			small_busstop.jpg																n15	1	1	亀の井バス（株）	ゆふいん号																			
	高速天瀬高塚			message=,stime=0:00,etime=0:68		33.2953787	131.0525647			small_busstop.jpg																n15	2	1	大分交通（株）	大分別府・長崎																			
	高速天瀬高塚			message=,stime=0:00,etime=0:69		33.2953787	131.0525647			small_busstop.jpg																n15	3	1	日田バス（株）	福岡・長崎～大分																			
	高速天瀬高塚			message=,stime=0:00,etime=0:70		33.2953787	131.0525647			small_busstop.jpg																n15	4	1	西鉄観光バス（株）	福岡・福岡空港　～　別府・大分																			
	高速天瀬高塚			message=,stime=0:00,etime=0:71		33.2953787	131.0525647			small_busstop.jpg																n15	5	1	長崎自動車（株）	長崎～大分・別府（サンライト号）																			
	高速天瀬高塚			message=,stime=0:00,etime=0:72		33.2953787	131.0525647			small_busstop.jpg																n15	6	1	大分バス（株）	大分・別府～福岡(各停)																			
	高速天瀬高塚			message=,stime=0:00,etime=0:73		33.2953787	131.0525647			small_busstop.jpg																n15	7	1	大分バス（株）	大分別府・長崎（各停）																			
	高速天瀬高塚			message=,stime=0:00,etime=0:74		33.2953787	131.0525647			small_busstop.jpg																n15	8	1	亀の井バス（株）	長崎～大分・別府（サンライト号）																			
	高速日田			message=,stime=0:00,etime=0:75		33.34081235	130.943896			small_busstop.jpg																n16	1	1	亀の井バス（株）	ゆふいん号																			
	高速日田			message=,stime=0:00,etime=0:76		33.34081235	130.943896			small_busstop.jpg																n16	2	1	大分交通（株）	大分別府・長崎																			
	高速日田			message=,stime=0:00,etime=0:77		33.34081235	130.943896			small_busstop.jpg																n16	3	1	日田バス（株）	有田線																			
	高速日田			message=,stime=0:00,etime=0:78		33.34081235	130.943896			small_busstop.jpg																n16	4	1	西鉄観光バス（株）	福岡・福岡空港　～　別府・大分																			
	高速日田			message=,stime=0:00,etime=0:79		33.34081235	130.943896			small_busstop.jpg																n16	5	1	長崎自動車（株）	長崎～大分・別府（サンライト号）																			
	高速日田			message=,stime=0:00,etime=0:80		33.34081235	130.943896			small_busstop.jpg																n16	6	1	大分バス（株）	大分・別府～福岡(各停)																			
	高速日田			message=,stime=0:00,etime=0:81		33.34081235	130.943896			small_busstop.jpg																n16	7	1	大分バス（株）	大分別府・長崎（各停）																			
	高速日田			message=,stime=0:00,etime=0:82		33.34081235	130.943896			small_busstop.jpg																n16	8	1	亀の井バス（株）	長崎～大分・別府（サンライト号）																			
	高速別府湾・APU			message=,stime=0:00,etime=0:83		33.33600912	131.4633837			small_busstop.jpg																n17	1	1	亀の井バス（株）	とよのくに号ノンストップ																			
	高速別府湾・APU			message=,stime=0:00,etime=0:84		33.33600912	131.4633837			small_busstop.jpg																n17	2	1	西鉄バス北九州（株）	高速北九州-別府・大分																			
	高速別府湾・APU			message=,stime=0:00,etime=0:85		33.33600912	131.4633837			small_busstop.jpg																n17	3	1	西日本鉄道（株）	福岡～別府（ノンストップ）																			
	高速別府湾・APU			message=,stime=0:00,etime=0:86		33.33600912	131.4633837			small_busstop.jpg																n17	4	1	大分交通（株）	大分別府・長崎																			
	高速別府湾・APU			message=,stime=0:00,etime=0:87		33.33600912	131.4633837			small_busstop.jpg																n17	5	1	大分交通（株）	大分別府・北九州																			
	高速別府湾・APU			message=,stime=0:00,etime=0:88		33.33600912	131.4633837			small_busstop.jpg																n17	6	1	大分バス（株）	大分・別府～福岡(ノンストップ福岡空港経由)																			
	高速別府湾・APU			message=,stime=0:00,etime=0:89		33.33600912	131.4633837			small_busstop.jpg																n17	7	1	大分バス（株）	大分・別府～福岡(ノンストップ)																			
	高速別府湾・APU			message=,stime=0:00,etime=0:90		33.33600912	131.4633837			small_busstop.jpg																n17	8	1	大分バス（株）	大分・別府～福岡(各停)																			
	高速別府湾・APU			message=,stime=0:00,etime=0:91		33.33600912	131.4633837			small_busstop.jpg																n17	9	1	西鉄観光バス（株）	福岡・福岡空港　～　別府・大分																			
	高速別府湾・APU			message=,stime=0:00,etime=0:92		33.33600912	131.4633837			small_busstop.jpg																n17	10	1	長崎自動車（株）	長崎～大分・別府（サンライト号）																			
	高速別府湾・APU			message=,stime=0:00,etime=0:93		33.33600912	131.4633837			small_busstop.jpg																n17	11	1	亀の井バス（株）	とよのくに号ノンストップ福岡空港経由																			
	高速別府湾・APU			message=,stime=0:00,etime=0:94		33.33600912	131.4633837			small_busstop.jpg																n17	12	1	亀の井バス（株）	大分別府・北九州																			
	高速別府湾・APU			message=,stime=0:00,etime=0:95		33.33600912	131.4633837			small_busstop.jpg																n17	13	1	大分バス（株）	大分別府・長崎（各停）																			
	高速別府湾・APU			message=,stime=0:00,etime=0:96		33.33600912	131.4633837			small_busstop.jpg																n17	14	1	亀の井バス（株）	長崎～大分・別府（サンライト号）																			
	高速別府湾・APU			message=,stime=0:00,etime=0:97		33.33600912	131.4633837			small_busstop.jpg																n17	15	1	西日本鉄道（株）	福岡～別府（ノンストップ福岡空港経由）																			
	佐伯コスモスタウン前			message=,stime=0:00,etime=0:98		32.96105988	131.8672891			small_busstop.jpg																n18	1	1	西鉄高速バス（株）	福岡～臼杵・津久見・佐伯（期間限定）																			
	佐伯駅			message=,stime=0:00,etime=0:99		32.97288303	131.9023706			small_busstop.jpg																n19	1	1	西鉄高速バス（株）	福岡～臼杵・津久見・佐伯（期間限定）																			
	佐伯駅			message=,stime=0:00,etime=0:100		32.97288303	131.9023706			small_busstop.jpg																n19	2	1	大分バス（株）	葛港～佐伯駅～大手前～野口～坂の浦線																			
	佐伯駅			message=,stime=0:00,etime=0:101		32.97288303	131.9023706			small_busstop.jpg																n19	3	1	大分バス（株）	葛港～木浦（横川経由）																			
	佐伯駅			message=,stime=0:00,etime=0:102		32.97288303	131.9023706			small_busstop.jpg																n19	4	1	大分バス（株）	葛港～木浦（重岡経由）																			
	佐伯駅			message=,stime=0:00,etime=0:103		32.97288303	131.9023706			small_busstop.jpg																n19	5	1	大分バス（株）	葛港～佐伯駅～畑木～小半（オナガラ）鍾乳洞～上津川線																			
	佐伯駅			message=,stime=0:00,etime=0:104		32.97288303	131.9023706			small_busstop.jpg																n19	6	1	大分バス（株）	急行・大道・犬飼・野津町・佐伯																			
	佐伯駅			message=,stime=0:00,etime=0:105		32.97288303	131.9023706			small_busstop.jpg																n19	7	1	大分バス（株）	佐伯駅～コスモタウン～久保線																			
	佐伯駅			message=,stime=0:00,etime=0:106		32.97288303	131.9023706			small_busstop.jpg																n19	8	1	大分バス（株）	佐伯駅～浦代～小浦・宮の浦線																			
	佐伯駅			message=,stime=0:00,etime=0:107		32.97288303	131.9023706			small_busstop.jpg																n19	9	1	大分バス（株）	佐伯駅～山口～蒲江～丸市尾～波当津線																			
