	カテゴリ	バス停			サブカテ	路線																																											
	path	busstop			subpath	route																																											
																																																	
																																																	
																																																	
																																																	
	共通属性																									個別属性																							
(項目名)	施設名	電話	住所	時間帯	価格	WGS84緯度	WGS84経度	定休日	駐車場	サムネ画像	ホームページ															id	seq	バスタイプ	バス会社	路線																			
(キー)	name	tel	address	open	fee	lat	lng	closingday	parking	thumbnail	homepage															id	sql	bustype	company	route																			
(属性型)	text	text	text	times	text	degree	degree	text	text	url	url															text	text	text	text	text																			
	オアシスひろば前			message=,stime=0:00,etime=0:581		33.23900746	131.601904			small_busstop.jpg																n153	9	1	大分交通（株）	大洲循環線																			
	オアシスひろば前			message=,stime=0:00,etime=0:582		33.23900746	131.601904			small_busstop.jpg																n153	10	1	大分交通（株）	柞原線6																			
	オアシスひろば前			message=,stime=0:00,etime=0:583		33.23900746	131.601904			small_busstop.jpg																n153	11	1	大分交通（株）	大分空港・大分（高速道路経由）																			
	オアシス広場前			message=,stime=0:00,etime=0:584		33.23826697	131.602584			small_busstop.jpg																n154	1	1	大分バス（株）	大分～城南団地																			
	おざきクリニック			message=,stime=0:00,etime=0:585		33.18451417	131.3953461			small_busstop.jpg																n155	1	3	由布市	みの草コース																			
	おざきクリニック			message=,stime=0:00,etime=0:586		33.18451417	131.3953461			small_busstop.jpg																n155	2	3	由布市	小袋コース																			
	おざきクリニック			message=,stime=0:00,etime=0:587		33.18451417	131.3953461			small_busstop.jpg																n155	3	3	由布市	小挾間・柚の木コース																			
	おざきクリニック			message=,stime=0:00,etime=0:588		33.18451417	131.3953461			small_busstop.jpg																n155	4	3	由布市	上切畑コース																			
	おざきクリニック			message=,stime=0:00,etime=0:589		33.18451417	131.3953461			small_busstop.jpg																n155	5	3	由布市	大津留コース																			
	おざきクリニック			message=,stime=0:00,etime=0:590		33.18451417	131.3953461			small_busstop.jpg																n155	6	3	由布市	長野コース																			
	おざきクリニック			message=,stime=0:00,etime=0:591		33.18451417	131.3953461			small_busstop.jpg																n155	7	3	由布市	平石コース																			
	おざきクリニック			message=,stime=0:00,etime=0:592		33.18451417	131.3953461			small_busstop.jpg																n155	8	3	由布市	籠原コース																			
	おざきクリニック			message=,stime=0:00,etime=0:593		33.18451417	131.3953461			small_busstop.jpg																n155	9	3	由布市	阿蘇野コース																			
	オダケ			message=,stime=0:00,etime=0:594		33.09360285	130.9557613			small_busstop.jpg																n156	1	3	日田市	川原線																			
	お堂前			message=,stime=0:00,etime=0:595		33.48895936	131.686423			small_busstop.jpg																n157	1	3	国東市	吉松線																			
	かいがけ			message=,stime=0:00,etime=0:596		33.23116896	131.4835496			small_busstop.jpg																n158	1	1	亀の井バス（株）	別府・内成																			
	かぐらちゃや前			message=,stime=0:00,etime=0:597		33.18033167	131.4328538			small_busstop.jpg																n159	1	3	由布市	みの草コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:598		33.18033167	131.4328538			small_busstop.jpg																n159	2	3	由布市	シャトルコース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:599		33.18033167	131.4328538			small_busstop.jpg																n159	3	3	由布市	シャトルコース（庄内庁舎～																			
	かぐらちゃや前			message=,stime=0:00,etime=0:600		33.18033167	131.4328538			small_busstop.jpg																n159	4	3	由布市	阿蘇野コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:601		33.18033167	131.4328538			small_busstop.jpg																n159	5	3	由布市	岩下～小野屋敷																			
	かぐらちゃや前			message=,stime=0:00,etime=0:602		33.18033167	131.4328538			small_busstop.jpg																n159	6	3	由布市	小袋コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:603		33.18033167	131.4328538			small_busstop.jpg																n159	7	3	由布市	小挾間・柚の木コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:604		33.18033167	131.4328538			small_busstop.jpg																n159	8	3	由布市	上切畑コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:605		33.18033167	131.4328538			small_busstop.jpg																n159	9	3	由布市	籠原コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:606		33.18033167	131.4328538			small_busstop.jpg																n159	10	3	由布市	大津留コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:607		33.18033167	131.4328538			small_busstop.jpg																n159	11	3	由布市	長野コース																			
	かぐらちゃや前			message=,stime=0:00,etime=0:608		33.18033167	131.4328538			small_busstop.jpg																n159	12	3	由布市	平石コース																			
	カジヤ			message=,stime=0:00,etime=0:609		33.3839017	131.6341322			small_busstop.jpg																n160	1	3	杵築市	東線																			
	かなりや公園前			message=,stime=0:00,etime=0:610		33.23508295	131.5802296			small_busstop.jpg																n161	1	1	大分交通（株）	スカイタウン高崎線8																			
	からしま医院前			message=,stime=0:00,etime=0:611		32.96990937	131.8406726			small_busstop.jpg																n162	1	3	佐伯市	（弥生）床木線																			
	からしま医院前			message=,stime=0:00,etime=0:612		32.96990937	131.8406726			small_busstop.jpg																n162	2	3	佐伯市	（弥生）大間線																			
	かんたん			message=,stime=0:00,etime=0:613		33.24712543	131.5817596			small_busstop.jpg																n163	1	1	大分交通（株）	APU線AS54																			
	かんたん			message=,stime=0:00,etime=0:614		33.24712543	131.5817596			small_busstop.jpg																n163	2	1	大分交通（株）	下八幡線17																			
	かんたん			message=,stime=0:00,etime=0:615		33.24712543	131.5817596			small_busstop.jpg																n163	3	1	大分交通（株）	下八幡線19																			
	かんたん			message=,stime=0:00,etime=0:616		33.24712543	131.5817596			small_busstop.jpg																n163	4	1	大分交通（株）	机張原線7																			
	かんたん			message=,stime=0:00,etime=0:617		33.24712543	131.5817596			small_busstop.jpg																n163	5	1	大分交通（株）	鶴見丘線AS61																			
	かんたん			message=,stime=0:00,etime=0:618		33.24712543	131.5817596			small_busstop.jpg																n163	6	1	大分交通（株）	鉄輪線AS60																			
	かんたん			message=,stime=0:00,etime=0:619		33.24712543	131.5817596			small_busstop.jpg																n163	7	1	大分交通（株）	別大線AS71																			
	かんたん			message=,stime=0:00,etime=0:620		33.24712543	131.5817596			small_busstop.jpg																n163	8	1	大分交通（株）	柞原線6																			
	かんたん			message=,stime=0:00,etime=0:621		33.24712543	131.5817596			small_busstop.jpg																n163	9	1	国東観光バス（株）	国大線、国杵線																			
	かんたん			message=,stime=0:00,etime=0:622		33.24712543	131.5817596			small_busstop.jpg																n163	10	1	大分交通（株）	大分・別府・日出～国東																			
	かんば			message=,stime=0:00,etime=0:623		32.87278051	131.52012			small_busstop.jpg																n164	1	1	大野交通（株）	大野交通～大白谷																			
	かんば			message=,stime=0:00,etime=0:624		32.87278051	131.52012			small_busstop.jpg																n164	2	1	大野交通（株）	大野交通～大白谷（代経由）																			
	くす温泉			message=,stime=0:00,etime=0:625		33.27908227	131.1387199			small_busstop.jpg																n165	1	1	日田バス（株）	山浦線																			
	くず渕温泉			message=,stime=0:00,etime=0:626		33.06717161	131.3719877			small_busstop.jpg																n166	1	1	竹田交通（株）	玉来～直入町支所																			
	くず渕温泉			message=,stime=0:00,etime=0:627		33.06717161	131.3719877			small_busstop.jpg																n166	2	3	竹田市	高伏線（玉来～高伏～直入支所）																			
	くず渕温泉			message=,stime=0:00,etime=0:628		33.06717161	131.3719877			small_busstop.jpg																n166	3	3	竹田市	高伏線（竹田交通～高伏～直入支所）																			
	くず渕温泉			message=,stime=0:00,etime=0:629		33.06717161	131.3719877			small_busstop.jpg																n166	4	3	竹田市	大分駅線（往路）																			
	くず渕温泉			message=,stime=0:00,etime=0:630		33.06717161	131.3719877			small_busstop.jpg																n166	5	1	竹田交通（株）	竹田交通～直入支店前																			
	くぶら			message=,stime=0:00,etime=0:631		32.82152355	131.9686341			small_busstop.jpg																n167	1	1	大分バス（株）	佐伯駅～畑の浦～尾浦・西の浦～蒲江～丸市尾～波当津線																			
	くぶら			message=,stime=0:00,etime=0:632		32.82152355	131.9686341			small_busstop.jpg																n167	2	1	大分バス（株）	佐伯駅～波当津（尾浦・西の浦経由）																			
	グランド前			message=,stime=0:00,etime=0:633		32.98860527	131.584583			small_busstop.jpg																n168	1	1	大野交通（株）	監督署～高添																			
	グランド前			message=,stime=0:00,etime=0:634		32.98860527	131.584583			small_busstop.jpg																n168	2	1	大野交通（株）	監督署～豊後辻																			
	グランド前			message=,stime=0:00,etime=0:635		32.98860527	131.584583			small_busstop.jpg																n168	3	1	大野交通（株）	監督署前～犬飼駅																			
	グランド前			message=,stime=0:00,etime=0:636		32.98860527	131.584583			small_busstop.jpg																n168	4	1	大分バス（株）	犬飼久原～大野交通																			
	グランド前			message=,stime=0:00,etime=0:637		32.98860527	131.584583			small_busstop.jpg																n168	5	1	大野交通（株）	大野交通～高添																			
	グランド前			message=,stime=0:00,etime=0:638		32.98860527	131.584583			small_busstop.jpg																n168	6	1	大野交通（株）	大野交通～三重監督署前（循環）																			
	グランド前			message=,stime=0:00,etime=0:639		32.98860527	131.584583			small_busstop.jpg																n168	7	1	大野交通（株）	大野交通～豊後辻																			
	グランド前			message=,stime=0:00,etime=0:640		32.98860527	131.584583			small_busstop.jpg																n168	8	1	大野交通（株）	大野交通本社～犬飼駅																			
	グリーンエコランド			message=,stime=0:00,etime=0:641		33.41343639	131.5017745			small_busstop.jpg																n169	1	3	杵築市	津山・鹿鳴越線																			
	グリーンセンター			message=,stime=0:00,etime=0:642		33.57080001	131.4427443			small_busstop.jpg																n170	1	3	豊後高田市	草地線																			
	グリーンハイツ西			message=,stime=0:00,etime=0:643		33.1794427	131.5844973			small_busstop.jpg																n171	1	1	大分バス（株）	元町・宮崎台・寒田団地・ふじが丘・田尻GH																			
	グリーンハイツ西			message=,stime=0:00,etime=0:644		33.1794427	131.5844973			small_busstop.jpg																n171	2	1	大分バス（株）	大道・光吉台中央・ふじが丘・田尻GH																			
	グリーンハイツ西			message=,stime=0:00,etime=0:645		33.1794427	131.5844973			small_busstop.jpg																n171	3	1	大分バス（株）	大道・明磧・ふじが丘・田尻GH																			
	グリーンハイツ西			message=,stime=0:00,etime=0:646		33.1794427	131.5844973			small_busstop.jpg																n171	4	1	大分バス（株）	田尻・田尻GH・ふじが丘山手・トキハわさだタウン																			
	グリーンハイツ西			message=,stime=0:00,etime=0:647		33.1794427	131.5844973			small_busstop.jpg																n171	5	1	大分バス（株）	明磧・わさだタウン・ふじが丘																			
	グリーンハイツ西			message=,stime=0:00,etime=0:648		33.1794427	131.5844973			small_busstop.jpg																n171	6	1	大分バス（株）	明磧・上田尻・田尻GH																			
	グリーンハイツ西入口			message=,stime=0:00,etime=0:649		33.18142366	131.5841915			small_busstop.jpg																n172	1	1	大分バス（株）	元町・宮崎台・寒田団地・ふじが丘・田尻GH																			
	グリーンハイツ西入口			message=,stime=0:00,etime=0:650		33.18142366	131.5841915			small_busstop.jpg																n172	2	1	大分バス（株）	大道・光吉台中央・ふじが丘・田尻GH																			
	グリーンハイツ西入口			message=,stime=0:00,etime=0:651		33.18142366	131.5841915			small_busstop.jpg																n172	3	1	大分バス（株）	大道・明磧・ふじが丘・田尻GH																			
	グリーンハイツ西入口			message=,stime=0:00,etime=0:652		33.18142366	131.5841915			small_busstop.jpg																n172	4	1	大分バス（株）	田尻・田尻GH・ふじが丘山手・トキハわさだタウン																			
	グリーンハイツ西入口			message=,stime=0:00,etime=0:653		33.18142366	131.5841915			small_busstop.jpg																n172	5	1	大分バス（株）	明磧・わさだタウン・ふじが丘																			
	グリーンハイツ西入口			message=,stime=0:00,etime=0:654		33.18142366	131.5841915			small_busstop.jpg																n172	6	1	大分バス（株）	明磧・上田尻・田尻GH																			
	グリーンハイツ中央			message=,stime=0:00,etime=0:655		33.18141051	131.5874188			small_busstop.jpg																n173	1	1	大分バス（株）	元町・宮崎台・寒田団地・ふじが丘・田尻GH																			
	グリーンハイツ中央			message=,stime=0:00,etime=0:656		33.18141051	131.5874188			small_busstop.jpg																n173	2	1	大分バス（株）	田尻・田尻GH・ふじが丘山手・トキハわさだタウン																			
	グリーンハイツ中央			message=,stime=0:00,etime=0:657		33.18141051	131.5874188			small_busstop.jpg																n173	3	1	大分バス（株）	明磧・わさだタウン・ふじが丘																			
	グリーンハイツ中央			message=,stime=0:00,etime=0:658		33.18141051	131.5874188			small_busstop.jpg																n173	4	1	大分バス（株）	大道・光吉台中央・ふじが丘・田尻GH																			
	グリーンハイツ中央			message=,stime=0:00,etime=0:659		33.18141051	131.5874188			small_busstop.jpg																n173	5	1	大分バス（株）	大道・明磧・ふじが丘・田尻GH																			
	グリーンハイツ中央			message=,stime=0:00,etime=0:660		33.18141051	131.5874188			small_busstop.jpg																n173	6	1	大分バス（株）	明磧・上田尻・田尻GH																			
	グリーンハイツ東			message=,stime=0:00,etime=0:661		33.18221003	131.5895075			small_busstop.jpg																n174	1	1	大分バス（株）	元町・宮崎台・寒田団地・ふじが丘・田尻GH																			
	グリーンハイツ東			message=,stime=0:00,etime=0:662		33.18221003	131.5895075			small_busstop.jpg																n174	2	1	大分バス（株）	大道・光吉台中央・ふじが丘・田尻GH																			
	グリーンハイツ東			message=,stime=0:00,etime=0:663		33.18221003	131.5895075			small_busstop.jpg																n174	3	1	大分バス（株）	大道・明磧・ふじが丘・田尻GH																			
	グリーンハイツ東			message=,stime=0:00,etime=0:664		33.18221003	131.5895075			small_busstop.jpg																n174	4	1	大分バス（株）	田尻・田尻GH・ふじが丘山手・トキハわさだタウン																			
	グリーンハイツ東			message=,stime=0:00,etime=0:665		33.18221003	131.5895075			small_busstop.jpg																n174	5	1	大分バス（株）	明磧・わさだタウン・ふじが丘																			
	グリーンハイツ東			message=,stime=0:00,etime=0:666		33.18221003	131.5895075			small_busstop.jpg																n174	6	1	大分バス（株）	明磧・上田尻・田尻GH																			
	グリーンハイツ南			message=,stime=0:00,etime=0:667		33.17951676	131.5873774			small_busstop.jpg																n175	1	1	大分バス（株）	元町・宮崎台・寒田団地・ふじが丘・田尻GH																			
	グリーンハイツ南			message=,stime=0:00,etime=0:668		33.17951676	131.5873774			small_busstop.jpg																n175	2	1	大分バス（株）	田尻・田尻GH・ふじが丘山手・トキハわさだタウン																			
	グリーンハイツ南			message=,stime=0:00,etime=0:669		33.17951676	131.5873774			small_busstop.jpg																n175	3	1	大分バス（株）	大道・光吉台中央・ふじが丘・田尻GH																			
	グリーンハイツ南			message=,stime=0:00,etime=0:670		33.17951676	131.5873774			small_busstop.jpg																n175	4	1	大分バス（株）	大道・明磧・ふじが丘・田尻GH																			
	グリーンハイツ南			message=,stime=0:00,etime=0:671		33.17951676	131.5873774			small_busstop.jpg																n175	5	1	大分バス（株）	明磧・上田尻・田尻GH																			
	グリーンハイツ入口			message=,stime=0:00,etime=0:672		33.18096196	131.5919898			small_busstop.jpg																n176	1	1	大分バス（株）	元町・宮崎台・寒田団地・ふじが丘・田尻GH																			
	グリーンハイツ入口			message=,stime=0:00,etime=0:673		33.18096196	131.5919898			small_busstop.jpg																n176	2	1	大分バス（株）	大道・光吉台中央・ふじが丘・田尻GH																			
	グリーンハイツ入口			message=,stime=0:00,etime=0:674		33.18096196	131.5919898			small_busstop.jpg																n176	3	1	大分バス（株）	大道・明磧・ふじが丘・田尻GH																			
	グリーンハイツ入口			message=,stime=0:00,etime=0:675		33.18096196	131.5919898			small_busstop.jpg																n176	4	1	大分バス（株）	田尻・田尻GH・ふじが丘山手・トキハわさだタウン																			
	グリーンハイツ入口			message=,stime=0:00,etime=0:676		33.18096196	131.5919898			small_busstop.jpg																n176	5	1	大分バス（株）	明磧・わさだタウン・ふじが丘																			
	グリーンハイツ入口			message=,stime=0:00,etime=0:677		33.18096196	131.5919898			small_busstop.jpg																n176	6	1	大分バス（株）	明磧・上田尻・田尻GH																			
	グリーンハイツ北			message=,stime=0:00,etime=0:678		33.1818188	131.5854816			small_busstop.jpg																n177	1	1	大分バス（株）	元町・宮崎台・寒田団地・ふじが丘・田尻GH																			
	グリーンハイツ北			message=,stime=0:00,etime=0:679		33.1818188	131.5854816			small_busstop.jpg																n177	2	1	大分バス（株）	大道・光吉台中央・ふじが丘・田尻GH																			
	グリーンハイツ北			message=,stime=0:00,etime=0:680		33.1818188	131.5854816			small_busstop.jpg																n177	3	1	大分バス（株）	大道・明磧・ふじが丘・田尻GH																			
	グリーンハイツ北			message=,stime=0:00,etime=0:681		33.1818188	131.5854816			small_busstop.jpg																n177	4	1	大分バス（株）	明磧・上田尻・田尻GH																			
	グリーンヒルズ前			message=,stime=0:00,etime=0:682		33.36459848	131.457151			small_busstop.jpg																n178	1	1	大交北部バス（株）	亀川駅～安心院																			
	グリーンヒルズ前			message=,stime=0:00,etime=0:683		33.36459848	131.457151			small_busstop.jpg																n178	2	1	大分交通（株）	亀川～安心院																			
	グリーンプラザ前			message=,stime=0:00,etime=0:684		33.18157298	131.5425943			small_busstop.jpg																n179	1	1	大分バス（株）	明磧・トキハわさだタウン・富士見が丘（緑が丘）																			
	グリーンプラザ前			message=,stime=0:00,etime=0:685		33.18157298	131.5425943			small_busstop.jpg																n179	2	1	大分バス（株）	明磧・松が丘・富士見が丘																			
	グリーンプラザ前			message=,stime=0:00,etime=0:686		33.18157298	131.5425943			small_busstop.jpg																n179	3	1	大分バス（株）	明磧・松が丘・富士見が丘（緑が丘）																			
	グリーンプラザ前			message=,stime=0:00,etime=0:687		33.18157298	131.5425943			small_busstop.jpg																n179	4	1	大分バス（株）	明磧・木の上・富士見が丘																			
	グリーンプラザ前			message=,stime=0:00,etime=0:688		33.18157298	131.5425943			small_busstop.jpg																n179	5	1	大分バス（株）	明磧・木の上・富士見が丘（緑が丘）																			
	グリーンプラザ前			message=,stime=0:00,etime=0:689		33.18157298	131.5425943			small_busstop.jpg																n179	6	1	大分バス（株）	緑が丘・富士見ヶ丘・松が丘大分南高校スクール																			
	グリーンプラザ北			message=,stime=0:00,etime=0:690		33.18222207	131.542666			small_busstop.jpg																n180	1	1	大分バス（株）	明磧・松が丘・富士見が丘（緑が丘）																			
	グリーンプラザ北			message=,stime=0:00,etime=0:691		33.18222207	131.542666			small_busstop.jpg																n180	2	1	大分バス（株）	明磧・木の上・富士見が丘（緑が丘）																			
	グリーンプラザ北			message=,stime=0:00,etime=0:692		33.18222207	131.542666			small_busstop.jpg																n180	3	1	大分バス（株）	緑が丘・富士見ヶ丘・松が丘大分南高校スクール																			
	グリーンプラザ北			message=,stime=0:00,etime=0:693		33.18222207	131.542666			small_busstop.jpg																n180	4	1	大分バス（株）	明磧・トキハわさだタウン・富士見が丘（緑が丘）																			
	くわ津留			message=,stime=0:00,etime=0:694		32.85759995	131.6412341			small_busstop.jpg																n181	1	1	大分バス（株）	葛港～木浦（横川経由）																			
	くわ津留			message=,stime=0:00,etime=0:695		32.85759995	131.6412341			small_busstop.jpg																n181	2	1	大分バス（株）	葛港～木浦（重岡経由）																			
	ゲートボール場前			message=,stime=0:00,etime=0:696		33.21367932	131.7315649			small_busstop.jpg																n182	1	3	大分市	畑～坂ノ市バス																			
	ゲートボール場前			message=,stime=0:00,etime=0:697		33.20024488	131.0087089			small_busstop.jpg																n183	1	1	日田バス（株）	五馬線																			
	ケゴヤ			message=,stime=0:00,etime=0:698		32.98416968	131.8450958			small_busstop.jpg																n184	1	3	佐伯市	（弥生）大間線																			
	けやき台一丁目			message=,stime=0:00,etime=0:699		33.15410938	131.6707718			small_busstop.jpg																n185	1	1	大分バス（株）	明野・猪野・岡原・けやき台																			
	けやき台公園前			message=,stime=0:00,etime=0:700		33.15430062	131.6729781			small_busstop.jpg																n186	1	1	大分バス（株）	明野・猪野・岡原・けやき台																			
	けやき台四丁目			message=,stime=0:00,etime=0:701		33.15193417	131.674849			small_busstop.jpg																n187	1	1	大分バス（株）	明野・猪野・岡原・けやき台																			
	けやき台二丁目			message=,stime=0:00,etime=0:702		33.1534269	131.6744668			small_busstop.jpg																n188	1	1	大分バス（株）	明野・猪野・岡原・けやき台																			
	けやき台入口			message=,stime=0:00,etime=0:703		33.15722357	131.6685182			small_busstop.jpg																n189	1	1	大分バス（株）	明野・猪野・岡原・けやき台																			
	コスモス荘前			message=,stime=0:00,etime=0:704		33.11974002	131.2292293			small_busstop.jpg																n190	1	1	日田バス（株）	筋湯・牧の戸線																			
	コスモス荘前			message=,stime=0:00,etime=0:705		33.11974002	131.2292293			small_busstop.jpg																n190	2	1	日田バス（株）	飯田小・九重登山口線																			
	コスモス病院			message=,stime=0:00,etime=0:706		33.12378154	131.7793341			small_busstop.jpg																n191	1	3	臼杵市	市内循環線																			
	コスモタウン			message=,stime=0:00,etime=0:707		32.95978777	131.8654848			small_busstop.jpg																n192	1	1	大分バス（株）	佐伯駅～コスモタウン～久保線																			
	コスモタウン			message=,stime=0:00,etime=0:708		32.95978777	131.8654848			small_busstop.jpg																n192	2	1	大分バス（株）	佐伯駅～久保																			
	コスモタウン			message=,stime=0:00,etime=0:709		32.95978777	131.8654848			small_busstop.jpg																n192	3	3	佐伯市	佐伯駅～大分空港																			
	ことといの里前			message=,stime=0:00,etime=0:710		33.41217281	130.9325848			small_busstop.jpg																n193	1	1	日田バス（株）	小鹿田線																			
	こども女性センター前			message=,stime=0:00,etime=0:711		33.21314607	131.5821895			small_busstop.jpg																n194	1	1	大分バス（株）	大石町・国分新町・向の原駅																			
	こども女性センター前			message=,stime=0:00,etime=0:712		33.21314607	131.5821895			small_busstop.jpg																n194	2	1	大分バス（株）	大石町・大学病院・（別府大学）																			
	こども女性センター前			message=,stime=0:00,etime=0:713		33.21314607	131.5821895			small_busstop.jpg																n194	3	1	大分バス（株）	大石町・大学病院・向の原駅（南営業所）																			
	こども女性センター前			message=,stime=0:00,etime=0:714		33.21314607	131.5821895			small_busstop.jpg																n194	4	1	大分バス（株）	大石町・大学病院・別府大学・国分新町（国分団地）																			
	こども女性センター前			message=,stime=0:00,etime=0:715		33.21314607	131.5821895			small_busstop.jpg																n194	5	1	大分バス（株）	大石町・大学病院・由布川温泉																			
	コニヨフ入口			message=,stime=0:00,etime=0:716		33.22486446	131.4960456			small_busstop.jpg																n195	1	3	由布市	北田代コース																			
	ごりょう神社前			message=,stime=0:00,etime=0:717		32.9720002	131.5823234			small_busstop.jpg																n196	1	1	大野交通（株）	監督署～重岡駅																			
	ごりょう神社前			message=,stime=0:00,etime=0:718		32.9720002	131.5823234			small_busstop.jpg																n196	2	1	大野交通（株）	大野交通～重岡駅																			
	ゴルフ場入口			message=,stime=0:00,etime=0:719		33.3004829	131.46139			small_busstop.jpg																n197	1	1	亀の井バス（株）	扇山線																			
	ゴルフ場入口			message=,stime=0:00,etime=0:720		33.3004829	131.46139			small_busstop.jpg																n197	2	1	亀の井バス（株）	堀田経由　扇山線																			
	コンパルホール入口			message=,stime=0:00,etime=0:721		33.23556039	131.6118631			small_busstop.jpg																n198	1	1	大分バス（株）	大道経由古国府循環、元町経由古国府循環																			
	コンパルホール入口			message=,stime=0:00,etime=0:722		33.23556039	131.6118631			small_busstop.jpg																n198	2	1	大分バス（株）	大分市美術館・駅裏循環																			
	コンパルホール入口			message=,stime=0:00,etime=0:723		33.23556039	131.6118631			small_busstop.jpg																n198	3	1	大分バス（株）	大分臼杵線																			
	コンパルホール入口			message=,stime=0:00,etime=0:724		33.23556039	131.6118631			small_busstop.jpg																n198	4	1	大分バス（株）	大分臼杵線（大道経由）																			
	さつき町			message=,stime=0:00,etime=0:725		33.21732621	131.658837			small_busstop.jpg																n199	1	1	大分バス（株）	加納・アクロス前・大分高校・旭町・大分																			
	さつき町			message=,stime=0:00,etime=0:726		33.21732621	131.658837			small_busstop.jpg																n199	2	1	大分バス（株）	大分高校・西町・萩原・大分																			
	さつき町			message=,stime=0:00,etime=0:727		33.21732621	131.658837			small_busstop.jpg																n199	3	1	大分バス（株）	南下郡・パークシティ明野・パークプレイス・アクロス前・萩原・大分、萩原・アクロス前・パークプレイス・パークシティ明野・南下郡・大分																			
	さつき町			message=,stime=0:00,etime=0:728		33.21732621	131.658837			small_busstop.jpg																n199	4	1	大分バス（株）	萩原・アクロス前・明野団地（大分高校）、萩原・大分高校・パークシティ明野																			
	さつき町			message=,stime=0:00,etime=0:729		33.21732621	131.658837			small_busstop.jpg																n199	5	1	大分バス（株）	萩原・高城・池の平・アクロス前・パークプレイス																			
	サファリ			message=,stime=0:00,etime=0:730		33.35024807	131.4149443			small_busstop.jpg																n200	1	1	亀の井バス（株）	サファリ線																			
	サファリ			message=,stime=0:00,etime=0:731		33.35024807	131.4149443			small_busstop.jpg																n200	2	1	亀の井バス（株）	安心院線																			
	サンクリニック			message=,stime=0:00,etime=0:732		33.67170709	131.5291959			small_busstop.jpg																n201	1	3	豊後高田市	夷線																			
	サンクリニック			message=,stime=0:00,etime=0:733		33.67170709	131.5291959			small_busstop.jpg																n201	2	3	豊後高田市	羽根線																			
	サンクリニック			message=,stime=0:00,etime=0:734		33.67170709	131.5291959			small_busstop.jpg																n201	3	3	豊後高田市	小畑線																			
	サンホール前			message=,stime=0:00,etime=0:735		33.31076429	131.1396822			small_busstop.jpg																n202	1	1	玖珠観光バス（株）	豊後森駅前～守実温泉																			
	サンホール前			message=,stime=0:00,etime=0:736		33.31076429	131.1396822			small_busstop.jpg																n202	2	1	玖珠観光バス（株）	豊後森～太田①（～山下）																			
	サンホール前			message=,stime=0:00,etime=0:737		33.31076429	131.1396822			small_busstop.jpg																n202	3	1	玖珠観光バス（株）	豊後森～太田②（～守実温泉）																			
	サンホール前			message=,stime=0:00,etime=0:738		33.31076429	131.1396822			small_busstop.jpg																n202	4	1	大交北部バス（株）	守実温泉～玖珠																			
	サンリブ前			message=,stime=0:00,etime=0:739		33.53066352	131.3286648			small_busstop.jpg																n203	1	3	宇佐市	横山線																			
	サンリブ前			message=,stime=0:00,etime=0:740		33.53066352	131.3286648			small_busstop.jpg																n203	2	3	宇佐市	高家・天津線																			
	サンリブ前			message=,stime=0:00,etime=0:741		33.53066352	131.3286648			small_busstop.jpg																n203	3	3	宇佐市	上麻生線																			
	サンリブ前			message=,stime=0:00,etime=0:742		33.53066352	131.3286648			small_busstop.jpg																n203	4	3	宇佐市	西馬城線																			
	サンリブ前			message=,stime=0:00,etime=0:743		33.53066352	131.3286648			small_busstop.jpg																n203	5	3	宇佐市	和間・高森線																			
	シーサイドタウン関の江公園前			message=,stime=0:00,etime=0:744		33.34302329	131.4882753			small_busstop.jpg																n204	1	1	大分交通（株）	関の江団地85・86																			
	シーサイドタウン関の江公園前			message=,stime=0:00,etime=0:745		33.34302329	131.4882753			small_busstop.jpg																n204	2	1	大分交通（株）	関の江団地線85																			
	シーサイドタウン関の江公園前			message=,stime=0:00,etime=0:746		33.34302329	131.4882753			small_busstop.jpg																n204	3	1	大分交通（株）	関の江団地線86																			
	シーサイドタウン関の江三丁目			message=,stime=0:00,etime=0:747		33.34287658	131.4859216			small_busstop.jpg																n205	1	1	大分交通（株）	関の江団地線85																			
	シーサイドタウン関の江三丁目			message=,stime=0:00,etime=0:748		33.34287658	131.4859216			small_busstop.jpg																n205	2	1	大分交通（株）	関の江団地線86																			
	シーサイドタウン関の江入口			message=,stime=0:00,etime=0:749		33.34400046	131.4899635			small_busstop.jpg																n206	1	1	大分交通（株）	関の江団地線85																			
	シーサイドタウン関の江入口			message=,stime=0:00,etime=0:750		33.34400046	131.4899635			small_busstop.jpg																n206	2	1	大分交通（株）	関の江団地線86																			
	じげ			message=,stime=0:00,etime=0:751		33.05400678	131.9431715			small_busstop.jpg																n207	1	1	大分バス（株）	大手前～浪太（ナブト）～長田～蒲戸（カマド）～大浜入口																			
	じげ			message=,stime=0:00,etime=0:752		33.05400678	131.9431715			small_busstop.jpg																n207	2	1	大分バス（株）	大手前～大浜入口																			
	ジャスコ前			message=,stime=0:00,etime=0:753		33.55715431	131.1951816			small_busstop.jpg																n208	1	1	大交北部バス（株）	中津駅前～八面山																			
