	カテゴリ	温泉			サブカテ	まったり																																											
	path	spa			subpath	mattari																																											
																																																	
																																																	
				↓時間帯は、機械検索しますので、入力書式を規定しています。詳細は表紙をご覧ください。																																													
					↓価格情報も、本来は時間帯と同様、機械検索できるように、専用の属性にしたほうがよいと思いますが、ひとまずtextにしています。																																												
	共通属性																									個別属性																							
(項目名)	施設名	電話	住所	時間帯	価格	WGS84緯度	WGS84経度	定休日	駐車場	サムネ画像	ホームページ															営業形態	温泉郷	家族(貸切)湯	泉質	最寄りバス停	最寄駅から	手ぶらＯＫ	シャワーあり	ドライヤーあり	etc														
(キー)	name	tel	address	open	fee	lat	lng	closingday	parking	thumbnail	homepage															optype	spaplace	familyspa	nature	nearbusstop	fromstation	freehand	shawaa	dry	etc														
(属性型)	text	text	text	times	text	degree	degree	text	text	url	url															text	text	text	text	text	text	bool	bool	bool	bool														
	別府海浜砂湯	66-5737	上人ケ浜町	message=（3-11月）受付,stime=8:30,etime=17:00|message=（12-2月）受付,stime=9:00,etime=16:00	1030円	33.3119475	131.5014832		10台	small_beppyon.png																市営温泉	亀川		塩化物泉	六勝園・別府海浜砂湯前　1分	別府大学駅　8分																		
	旅亭松葉屋	22-4271	観海寺3	message=平日のみ,stime=14:00,etime=16:00	1000円	33.2816721	131.4757679		30台	small_beppyon.png																宿泊施設	観海寺		単純泉																				
	べっぷ昭和園	22-3211	大字別府字乙原3783-１	message=平日のみ,stime=12:00,etime=15:00	貸切露天50分2000円（要予約）	33.273639	131.485633		15台	small_beppyon.png																宿泊施設	観海寺		硫酸塩泉																				
	美湯の宿 両築別邸	26-0022	観海寺３組	message=,stime=12:00,etime=15:00	500円	33.2813979	131.4767743		30台	small_beppyon.png																宿泊施設	観海寺		単純泉																				
	柴石温泉	67-4100	野田4-1	message=,stime=7:00,etime=20:00	210円	33.3257635	131.4730166	第2水曜	35台	small_beppyon.png																市営温泉	柴石	1570円（60分4名迄）	硫酸塩泉	柴石温泉入口　2分	なし																		
	長泉寺薬師湯	66-4013	野田4-2	message=,stime=10:00,etime=16:00	お賽銭（玄関にて署名が必要）	33.328157	131.480854		なし	small_beppyon.png																お寺	柴石		酸性泉	血の池地獄前　1分	なし																		
	血の池地獄足湯	66-1191	野田4-2	message=,stime=8:00,etime=17:00	400円（施設入場料）	33.3271956	131.4782022		130台	small_beppyon.png																足湯	柴石		酸性泉	血の池地獄前　5分	なし																		
	城島高原パーク展望足湯　花草香	22-1165	城島高原123	message=（季節・曜日よって異なる。休園日あり）,stime=10:00,etime=16:00	1500円（施設入園料）	33.264742	131.426793		2500台	small_beppyon.png																レジャー施設	周辺	なし	塩化物泉	城島高原パーク 3分	なし																		
	市の原温泉	なし	新別府7組	message=,stime=7:30,etime=21:00|message=日曜,stime=8:30,etime=19:00	200円、向かいの店（新別府食品）で支払い	33.3061682	131.485702		なし	small_beppyon.png																共同温泉	周辺		単純泉																				
	七ッ石温泉	23-8705	荘園2組	message=,stime=7:00,etime=10:30|message=15:00,etime=22:00	100円	33.2911333	131.4838364		なし	small_beppyon.png																共同温泉	周辺		単純泉																				
	別府湾ロイヤルホテル	72-9800	日出町平道入江1825	message=,stime=12:30,etime=17:00|message=月・金曜(要問合せ),stime=14:00,etime=17:00	1000円	33.35609	131.498515		240台	small_beppyon.png																宿泊施設	周辺		塩化物泉																				
	ホテルソラージュ「大神の湯」	72－1800	速見郡日出町大神7505	message=平日受付（※火曜日は16：00から）,stime=11：00,etime=23：00|message=日祝受付,stime=11：00,etime=21：00|message=土・休前日受付,stime=11:00,etime=14:00	550円	33.368872	131.596489	年末年始	あり　200台	small_beppyon.png																宿泊施設	周辺	あり　2室	ナトリウム・塩化物・炭酸水素塩温泉	ホテルソラージュ前	なし																		
