	
	○○氏宅前			message=,stime=0:00,etime=0:00		33.10978111	131.5160486			small_busstop.jpg																n116	1	3	由布市	朝海・沢田～竹の内バス																				company=由布市,route=朝海・沢田～竹の内バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.11301754	131.5874745			small_busstop.jpg																n89	1	3	大分市	弓立～中津留バス																				company=大分市,route=弓立～中津留バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.11395476	131.573454			small_busstop.jpg																n90	1	3	大分市	弓立～中津留バス																				company=大分市,route=弓立～中津留バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.11709518	131.5736826			small_busstop.jpg																n91	1	3	大分市	弓立～中津留バス																				company=大分市,route=弓立～中津留バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.11801408	131.5702934			small_busstop.jpg																n88	1	3	大分市	弓立～中津留バス																				company=大分市,route=弓立～中津留バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.1213225	131.4508914			small_busstop.jpg																n108	1	3	由布市	摺・練ヶ迫～上町																				company=由布市,route=摺・練ヶ迫～上町
	○○氏宅前			message=,stime=0:00,etime=0:00		33.12620182	131.5228757			small_busstop.jpg																n115	1	3	由布市	朝海・沢田～竹の内バス																				company=由布市,route=朝海・沢田～竹の内バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.12710818	131.4408846			small_busstop.jpg																n109	1	3	由布市	摺・練ヶ迫～上町																				company=由布市,route=摺・練ヶ迫～上町
	○○氏宅前			message=,stime=0:00,etime=0:00		33.12808529	131.5809954			small_busstop.jpg																n98	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.12914301	131.5801459			small_busstop.jpg																n99	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.13036742	131.586539			small_busstop.jpg																n95	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.130989	131.5278137			small_busstop.jpg																n112	1	3	由布市	朝海・沢田～竹の内バス																				company=由布市,route=朝海・沢田～竹の内バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.13216838	131.5276787			small_busstop.jpg																n114	1	3	由布市	朝海・沢田～竹の内バス																				company=由布市,route=朝海・沢田～竹の内バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.1346382	131.5864795			small_busstop.jpg																n97	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.13488396	131.599911			small_busstop.jpg																n92	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.13871215	131.5171095			small_busstop.jpg																n113	1	3	由布市	朝海・沢田～竹の内バス																				company=由布市,route=朝海・沢田～竹の内バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.14287145	131.4637551			small_busstop.jpg																n118	1	3	由布市	栗灰～今畑バス																				company=由布市,route=栗灰～今畑バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.14589336	131.6039144			small_busstop.jpg																n96	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.14694356	131.6100274			small_busstop.jpg																n94	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.15302892	131.6149814			small_busstop.jpg																n93	1	3	大分市	安田・百木・樫原等～新良橋バス																				company=大分市,route=安田・百木・樫原等～新良橋バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.17295118	131.5175609			small_busstop.jpg																n117	1	3	由布市	舟ヶ平～野津原農協前バス																				company=由布市,route=舟ヶ平～野津原農協前バス
	○○氏宅前			message=,stime=0:00,etime=0:00		33.1935724	131.7318787			small_busstop.jpg																n78	1	3	大分市	畑～坂ノ市バス																				company=大分市,route=畑～坂ノ市バス
